type,label,id,class,name,value
テキストボックス,名前,name,,name,名前を入力してください
テキストエリア,特に見ているジャンルを教えてください,genre,,genre,textarea
Eメール,メールアドレスを入力してください,mail,,mail,メールアドレスを入力してください
ラジオボタン,性別を選択してください,,,gender,
,男性,gender-1,,gender,1
,女性,gender-2,,gender,2
,その他,gender-3,,gender,3
チェックボックス,普段よく使う決済方法を教えて下さい,,,payment,
,クレジットカード,payment-1,,payment,1
,ID決済（PayPayなど）,payment-2,,payment,2
,キャリア決済,payment-3,,payment,3
,プリペイドカード,payment-4,,payment,4
,その他,payment-5,,payment,5
セレクトボックス,色の指定があれば選択してください,color,,color,
,----,,,color,
,赤,red,,color,1
,青,blue,,color,2
,黄,yellow,,color,3
